Level,maxUnits,maxUnits_Metal,maxUnits_Electricity,maxUnits_Uranium,pv,pv_Metal,pv_Electricity,pv_Uranium,damage,damage_Metal,damage_Electricity,damage_Uranium,cdAttack,cdAttack_Metal,cdAttack_Electricity,cdAttack_Uranium,rangeAttack,rangeAttack_Metal,rangeAttack_Electricity,rangeAttack_Uranium,nbAttack,nbAttack_Metal,nbAttack_Electricity,nbAttack_Uranium
1,1,0,0,0,30,0,0,0,10,0,0,0,15,0,0,0,20,0,0,0,1,0,0,0
2,1,60,0,0,32,20,0,0,11,20,0,0,16,20,0,0,21,20,0,0,2,120,0,0
3,1,135,0,0,34,45,0,0,12,45,0,0,17,45,0,0,22,45,0,0,3,270,0,0
4,2,240,0,0,36,80,0,0,13,80,0,0,18,80,0,0,23,80,0,0,4,480,12,0
5,2,375,0,0,38,125,0,0,14,125,0,0,19,125,0,0,24,125,0,0,5,750,24,0
6,2,540,0,0,40,180,0,0,15,180,0,0,20,180,0,0,25,180,0,0,6,1080,36,0
7,2,735,0,0,42,245,0,0,16,245,0,0,21,245,0,0,26,245,0,0,7,1470,48,0
8,2,960,0,0,44,320,0,0,17,320,0,0,22,320,0,0,27,320,0,0,8,1920,60,6
9,3,1215,0,0,46,405,0,0,18,405,0,0,23,405,0,0,28,405,0,0,9,2430,72,12
10,3,1500,0,0,48,500,0,0,19,500,0,0,24,500,0,0,29,500,0,0,10,3000,84,18
11,3,1815,0,0,50,605,0,0,20,605,0,0,25,605,0,0,30,605,0,0,10,0,0,0
12,3,2160,0,0,52,720,0,0,21,720,0,0,26,720,0,0,31,720,0,0,10,0,0,0
13,3,2535,0,0,54,845,0,0,22,845,0,0,27,845,0,0,32,845,0,0,10,0,0,0
14,4,2940,0,0,56,980,0,0,23,980,0,0,28,980,0,0,33,980,0,0,10,0,0,0
15,4,3375,0,0,58,1125,0,0,24,1125,0,0,29,1125,0,0,34,1125,0,0,10,0,0,0
16,4,3840,0,0,60,1280,0,0,25,1280,0,0,30,1280,0,0,35,1280,0,0,10,0,0,0
17,4,4335,0,0,62,1445,0,0,26,1445,0,0,31,1445,0,0,36,1445,0,0,10,0,0,0
18,4,4860,0,0,64,1620,0,0,27,1620,0,0,32,1620,0,0,37,1620,0,0,10,0,0,0
19,5,5415,0,0,66,1805,0,0,28,1805,0,0,33,1805,0,0,38,1805,0,0,10,0,0,0
20,5,6000,0,0,68,2000,0,0,29,2000,0,0,34,2000,0,0,39,2000,0,0,10,0,0,0
21,5,6615,0,0,70,2205,0,0,30,2205,0,0,35,2205,0,0,40,2205,0,0,10,0,0,0
22,5,7260,0,0,72,2420,0,0,31,2420,0,0,36,2420,0,0,41,2420,0,0,10,0,0,0
23,5,7935,0,0,74,2645,0,0,32,2645,0,0,37,2645,0,0,42,2645,0,0,10,0,0,0
24,6,8640,0,0,76,2880,0,0,33,2880,0,0,38,2880,0,0,43,2880,0,0,10,0,0,0
25,6,9375,6,0,78,3125,2,0,34,3125,2,0,39,3125,2,0,44,3125,2,0,10,0,0,0
26,6,10140,12,0,80,3380,4,0,35,3380,4,0,40,3380,4,0,45,3380,4,0,10,0,0,0
27,6,10935,18,0,82,3645,6,0,36,3645,6,0,41,3645,6,0,46,3645,6,0,10,0,0,0
28,6,11760,24,0,84,3920,8,0,37,3920,8,0,42,3920,8,0,47,3920,8,0,10,0,0,0
29,7,12615,30,0,86,4205,10,0,38,4205,10,0,43,4205,10,0,48,4205,10,0,10,0,0,0
30,7,13500,36,0,88,4500,12,0,39,4500,12,0,44,4500,12,0,49,4500,12,0,10,0,0,0
31,7,14415,42,0,90,4805,14,0,40,4805,14,0,45,4805,14,0,50,4805,14,0,10,0,0,0
32,7,15360,48,0,92,5120,16,0,41,5120,16,0,46,5120,16,0,51,5120,16,0,10,0,0,0
33,7,16335,54,0,94,5445,18,0,42,5445,18,0,47,5445,18,0,52,5445,18,0,10,0,0,0
34,8,17340,60,0,96,5780,20,0,43,5780,20,0,48,5780,20,0,53,5780,20,0,10,0,0,0
35,8,18375,66,0,98,6125,22,0,44,6125,22,0,49,6125,22,0,54,6125,22,0,10,0,0,0
36,8,19440,72,0,100,6480,24,0,45,6480,24,0,50,6480,24,0,55,6480,24,0,10,0,0,0
37,8,20535,78,0,102,6845,26,0,46,6845,26,0,51,6845,26,0,56,6845,26,0,10,0,0,0
38,8,21660,84,0,104,7220,28,0,47,7220,28,0,52,7220,28,0,57,7220,28,0,10,0,0,0
39,9,22815,90,0,106,7605,30,0,48,7605,30,0,53,7605,30,0,58,7605,30,0,10,0,0,0
40,9,24000,96,0,108,8000,32,0,49,8000,32,0,54,8000,32,0,59,8000,32,0,10,0,0,0
41,9,25215,102,0,110,8405,34,0,50,8405,34,0,55,8405,34,0,60,8405,34,0,10,0,0,0
42,9,26460,108,0,112,8820,36,0,51,8820,36,0,56,8820,36,0,61,8820,36,0,10,0,0,0
43,9,27735,114,0,114,9245,38,0,52,9245,38,0,57,9245,38,0,62,9245,38,0,10,0,0,0
44,10,29040,120,0,116,9680,40,0,53,9680,40,0,58,9680,40,0,63,9680,40,0,10,0,0,0
45,10,30375,126,0,118,10125,42,0,54,10125,42,0,59,10125,42,0,64,10125,42,0,10,0,0,0
46,10,31740,132,0,120,10580,44,0,55,10580,44,0,60,10580,44,0,65,10580,44,0,10,0,0,0
47,10,33135,138,0,122,11045,46,0,56,11045,46,0,61,11045,46,0,66,11045,46,0,10,0,0,0
48,10,34560,144,0,124,11520,48,0,57,11520,48,0,62,11520,48,0,67,11520,48,0,10,0,0,0
49,10,36015,150,0,126,12005,50,0,58,12005,50,0,63,12005,50,0,68,12005,50,0,10,0,0,0
50,10,37500,156,0,128,12500,52,0,59,12500,52,0,64,12500,52,0,69,12500,52,0,10,0,0,0
51,10,39015,162,0,130,13005,54,0,60,13005,54,0,65,13005,54,0,70,13005,54,0,10,0,0,0
52,10,40560,168,0,132,13520,56,0,61,13520,56,0,66,13520,56,0,71,13520,56,0,10,0,0,0
53,10,42135,174,0,134,14045,58,0,62,14045,58,0,67,14045,58,0,72,14045,58,0,10,0,0,0
54,11,43740,180,0,136,14580,60,0,63,14580,60,0,68,14580,60,0,73,14580,60,0,10,0,0,0
55,11,45375,186,0,138,15125,62,0,64,15125,62,0,69,15125,62,0,74,15125,62,0,10,0,0,0
56,11,47040,192,0,140,15680,64,0,65,15680,64,0,70,15680,64,0,75,15680,64,0,10,0,0,0
57,11,48735,198,0,142,16245,66,0,66,16245,66,0,71,16245,66,0,76,16245,66,0,10,0,0,0
58,11,50460,204,0,144,16820,68,0,67,16820,68,0,72,16820,68,0,77,16820,68,0,10,0,0,0
59,12,52215,210,0,146,17405,70,0,68,17405,70,0,73,17405,70,0,78,17405,70,0,10,0,0,0
60,12,54000,216,0,148,18000,72,0,69,18000,72,0,74,18000,72,0,79,18000,72,0,10,0,0,0
61,12,55815,222,0,150,18605,74,0,70,18605,74,0,75,18605,74,0,80,18605,74,0,10,0,0,0
62,12,57660,228,0,152,19220,76,0,71,19220,76,0,76,19220,76,0,81,19220,76,0,10,0,0,0
63,12,59535,234,0,154,19845,78,0,72,19845,78,0,77,19845,78,0,82,19845,78,0,10,0,0,0
64,13,61440,240,0,156,20480,80,0,73,20480,80,0,78,20480,80,0,83,20480,80,0,10,0,0,0
65,13,63375,246,0,158,21125,82,0,74,21125,82,0,79,21125,82,0,84,21125,82,0,10,0,0,0
66,13,65340,252,0,160,21780,84,0,75,21780,84,0,80,21780,84,0,85,21780,84,0,10,0,0,0
67,13,67335,258,0,162,22445,86,0,76,22445,86,0,81,22445,86,0,86,22445,86,0,10,0,0,0
68,13,69360,264,0,164,23120,88,0,77,23120,88,0,82,23120,88,0,87,23120,88,0,10,0,0,0
69,14,71415,270,0,166,23805,90,0,78,23805,90,0,83,23805,90,0,88,23805,90,0,10,0,0,0
70,14,73500,276,3,168,24500,92,1,79,24500,92,1,84,24500,92,1,89,24500,92,1,10,0,0,0
71,14,75615,282,6,170,25205,94,2,80,25205,94,2,85,25205,94,2,90,25205,94,2,10,0,0,0
72,14,77760,288,9,172,25920,96,3,81,25920,96,3,86,25920,96,3,91,25920,96,3,10,0,0,0
73,14,79935,294,12,174,26645,98,4,82,26645,98,4,87,26645,98,4,92,26645,98,4,10,0,0,0
74,14,82140,300,15,176,27380,100,5,83,27380,100,5,88,27380,100,5,93,27380,100,5,10,0,0,0
75,14,84375,306,18,178,28125,102,6,84,28125,102,6,89,28125,102,6,94,28125,102,6,10,0,0,0
76,15,86640,312,21,180,28880,104,7,85,28880,104,7,90,28880,104,7,95,28880,104,7,10,0,0,0
77,15,0,0,0,182,29645,106,8,86,29645,106,8,91,29645,106,8,96,29645,106,8,10,0,0,0
78,15,0,0,0,184,30420,108,9,87,30420,108,9,92,30420,108,9,97,30420,108,9,10,0,0,0
79,15,0,0,0,186,31205,110,10,88,31205,110,10,93,31205,110,10,98,31205,110,10,10,0,0,0
80,15,0,0,0,188,32000,112,11,89,32000,112,11,94,32000,112,11,99,32000,112,11,10,0,0,0
81,15,0,0,0,190,32805,114,12,90,32805,114,12,95,32805,114,12,100,32805,114,12,10,0,0,0
82,15,0,0,0,192,33620,116,13,91,33620,116,13,96,33620,116,13,101,33620,116,13,10,0,0,0
83,15,0,0,0,194,34445,118,14,92,34445,118,14,97,34445,118,14,102,34445,118,14,10,0,0,0
84,15,0,0,0,196,35280,120,15,93,35280,120,15,98,35280,120,15,103,35280,120,15,10,0,0,0
85,15,0,0,0,198,36125,122,16,94,36125,122,16,99,36125,122,16,104,36125,122,16,10,0,0,0
86,15,0,0,0,200,36980,124,17,95,36980,124,17,100,36980,124,17,105,36980,124,17,10,0,0,0
87,15,0,0,0,202,37845,126,18,96,37845,126,18,101,37845,126,18,106,37845,126,18,10,0,0,0
88,15,0,0,0,204,38720,128,19,97,38720,128,19,102,38720,128,19,107,38720,128,19,10,0,0,0
89,15,0,0,0,206,39605,130,20,98,39605,130,20,103,39605,130,20,108,39605,130,20,10,0,0,0
90,15,0,0,0,208,40500,132,21,99,40500,132,21,104,40500,132,21,109,40500,132,21,10,0,0,0
91,15,0,0,0,210,41405,134,22,100,41405,134,22,105,41405,134,22,110,41405,134,22,10,0,0,0
92,15,0,0,0,212,42320,136,23,101,42320,136,23,106,42320,136,23,111,42320,136,23,10,0,0,0
93,15,0,0,0,214,43245,138,24,102,43245,138,24,107,43245,138,24,112,43245,138,24,10,0,0,0
94,15,0,0,0,216,44180,140,25,103,44180,140,25,108,44180,140,25,113,44180,140,25,10,0,0,0
95,15,0,0,0,218,45125,142,26,104,45125,142,26,109,45125,142,26,114,45125,142,26,10,0,0,0
96,15,0,0,0,220,46080,144,27,105,46080,144,27,110,46080,144,27,115,46080,144,27,10,0,0,0
97,15,0,0,0,222,47045,146,28,106,47045,146,28,111,47045,146,28,116,47045,146,28,10,0,0,0
98,15,0,0,0,224,48020,148,29,107,48020,148,29,112,48020,148,29,117,48020,148,29,10,0,0,0
