Level,maxUnits,maxUnits_Metal,maxUnits_Electricity,maxUnits_Uranium,pv,pv_Metal,pv_Electricity,pv_Uranium,damage,damage_Metal,damage_Electricity,damage_Uranium,cdAttack,cdAttack_Metal,cdAttack_Electricity,cdAttack_Uranium,rangeAttack,rangeAttack_Metal,rangeAttack_Electricity,rangeAttack_Uranium,nbAttack,nbAttack_Metal,nbAttack_Electricity,nbAttack_Uranium
1,15,0,0,0,10,0,0,0,5,0,0,0,8,0,0,0,10,0,0,0,1,0,0,0
2,16,20,0,0,11,20,0,0,6,20,0,0,9,20,0,0,11,20,0,0,2,120,0,0
3,17,45,0,0,12,45,0,0,7,45,0,0,10,45,0,0,12,45,0,0,3,270,0,0
4,18,80,0,0,13,80,0,0,8,80,0,0,11,80,0,0,13,80,0,0,4,480,12,0
5,19,125,0,0,14,125,0,0,9,125,0,0,12,125,0,0,14,125,0,0,5,750,24,0
6,20,180,0,0,15,180,0,0,10,180,0,0,13,180,0,0,15,180,0,0,6,1080,36,0
7,21,245,0,0,16,245,0,0,11,245,0,0,14,245,0,0,16,245,0,0,7,1470,48,0
8,22,320,0,0,17,320,0,0,12,320,0,0,15,320,0,0,17,320,0,0,8,1920,60,6
9,23,405,0,0,18,405,0,0,13,405,0,0,16,405,0,0,18,405,0,0,9,2430,72,12
10,24,500,0,0,19,500,0,0,14,500,0,0,17,500,0,0,19,500,0,0,10,3000,84,18
11,25,605,0,0,20,605,0,0,15,605,0,0,18,605,0,0,20,605,0,0,10,0,0,0
12,26,720,0,0,21,720,0,0,16,720,0,0,19,720,0,0,21,720,0,0,10,0,0,0
13,27,845,0,0,22,845,0,0,17,845,0,0,20,845,0,0,22,845,0,0,10,0,0,0
14,28,980,0,0,23,980,0,0,18,980,0,0,21,980,0,0,23,980,0,0,10,0,0,0
15,29,1125,0,0,24,1125,0,0,19,1125,0,0,22,1125,0,0,24,1125,0,0,10,0,0,0
16,30,1280,0,0,25,1280,0,0,20,1280,0,0,23,1280,0,0,25,1280,0,0,10,0,0,0
17,31,1445,0,0,26,1445,0,0,21,1445,0,0,24,1445,0,0,26,1445,0,0,10,0,0,0
18,32,1620,0,0,27,1620,0,0,22,1620,0,0,25,1620,0,0,27,1620,0,0,10,0,0,0
19,33,1805,0,0,28,1805,0,0,23,1805,0,0,26,1805,0,0,28,1805,0,0,10,0,0,0
20,34,2000,0,0,29,2000,0,0,24,2000,0,0,27,2000,0,0,29,2000,0,0,10,0,0,0
21,35,2205,0,0,30,2205,0,0,25,2205,0,0,28,2205,0,0,30,2205,0,0,10,0,0,0
22,36,2420,0,0,31,2420,0,0,26,2420,0,0,29,2420,0,0,31,2420,0,0,10,0,0,0
23,37,2645,0,0,32,2645,0,0,27,2645,0,0,30,2645,0,0,32,2645,0,0,10,0,0,0
