Level,maxUnits,maxUnits_Metal,maxUnits_Electricity,maxUnits_Uranium,pv,pv_Metal,pv_Electricity,pv_Uranium,damage,damage_Metal,damage_Electricity,damage_Uranium,cdAttack,cdAttack_Metal,cdAttack_Electricity,cdAttack_Uranium,rangeAttack,rangeAttack_Metal,rangeAttack_Electricity,rangeAttack_Uranium,nbAttack,nbAttack_Metal,nbAttack_Electricity,nbAttack_Uranium
1,8,0,0,0,20,0,0,0,8,0,0,0,12,0,0,0,15,0,0,0,1,0,0,0
2,9,20,0,0,21,20,0,0,9,20,0,0,13,20,0,0,16,20,0,0,2,120,0,0
3,10,45,0,0,22,45,0,0,10,45,0,0,14,45,0,0,17,45,0,0,3,270,0,0
4,11,80,0,0,23,80,0,0,11,80,0,0,15,80,0,0,18,80,0,0,4,480,12,0
5,12,125,0,0,24,125,0,0,12,125,0,0,16,125,0,0,19,125,0,0,5,750,24,0
6,13,180,0,0,25,180,0,0,13,180,0,0,17,180,0,0,20,180,0,0,6,1080,36,0
7,14,245,0,0,26,245,0,0,14,245,0,0,18,245,0,0,21,245,0,0,7,1470,48,0
8,15,320,0,0,27,320,0,0,15,320,0,0,19,320,0,0,22,320,0,0,8,1920,60,6
9,16,405,0,0,28,405,0,0,16,405,0,0,20,405,0,0,23,405,0,0,9,2430,72,12
10,17,500,0,0,29,500,0,0,17,500,0,0,21,500,0,0,24,500,0,0,10,3000,84,18
11,18,605,0,0,30,605,0,0,18,605,0,0,22,605,0,0,25,605,0,0,10,0,0,0
12,19,720,0,0,31,720,0,0,19,720,0,0,23,720,0,0,26,720,0,0,10,0,0,0
13,20,845,0,0,32,845,0,0,20,845,0,0,24,845,0,0,27,845,0,0,10,0,0,0
14,21,980,0,0,33,980,0,0,21,980,0,0,25,980,0,0,28,980,0,0,10,0,0,0
15,22,1125,0,0,34,1125,0,0,22,1125,0,0,26,1125,0,0,29,1125,0,0,10,0,0,0
16,23,1280,0,0,35,1280,0,0,23,1280,0,0,27,1280,0,0,30,1280,0,0,10,0,0,0
17,24,1445,0,0,36,1445,0,0,24,1445,0,0,28,1445,0,0,31,1445,0,0,10,0,0,0
